Institution,main_office,branch_name,branch_number,established_date,street_address,City,County,State,Zipcode,2010_Deposits,2011_Deposits,2012_Deposits,2013_Deposits,2014_Deposits,2015_Deposits,2016_Deposits,row_num
JPM Chase Bank,0,Mapleton Branch,496,1926-09-13,6501 18th Avenue,Brooklyn,Kings,NY,11204,152468,151279,177265,196219,199708,215111,241783,1
JPM Chase Bank,0,Marbach Branch,2304,1974-01-01,8306 Marbach,San Antonio,Bexar,TX,78227,14250,13556,14514,17563,18392,20143,22158,1
JPM Chase Bank,0,Marengo Branch,1972,1925-01-01,200 East Grant Highway,Marengo,McHenry,IL,60152,25624,22323,26296,26912,28752,28760,30621,1
JPM Chase Bank,0,Marietta Branch,1675,1889-12-09,125 Putnam Street,Marietta,Washington,OH,45750,59830,69312,93685,78148,78964,83873,85121,1
JPM Chase Bank,0,Market Center Branch,2218,1954-05-25,"1825 North Market Center Boulevard, Suite100",Dallas,Dallas,TX,75207,42732,44223,48646,53867,55757,59913,69116,1
JPM Chase Bank,0,Market Street Branch,1658,1948-09-27,2900 Market Street,Youngstown,Mahoning,OH,44507,7079,7626,8603,9660,9463,9485,9721,1
JPM Chase Bank,0,Marlette Annex Branch,2781,1974-09-16,2827 North Main,Marlette,Sanilac,MI,48453,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Marlette Branch,2780,1935-06-01,3064 Main Street,Marlette,Sanilac,MI,48453,33001,27147,29835,33084,32751,35464,37643,1
JPM Chase Bank,0,Marshall Branch,2266,1889-09-30,112 W Austin St,Marshall,Harrison,TX,75670,79085,76453,80737,73907,75683,73970,73909,1
JPM Chase Bank,0,Martin Luther King Dallas Branch,2323,1992-06-08,2833 Martin Luther King Boulevard,Dallas,Dallas,TX,75215,9815,9403,10430,10472,14610,20278,14031,1
JPM Chase Bank,0,Marwood Banking Center Branch,2949,1972-11-30,3451 Kentucky Avenue,Indianapolis,Marion,IN,46221,33646,34501,38628,39705,39861,42800,46541,1
JPM Chase Bank,0,Marysville Branch,1545,1982-12-15,406 West Fifth Street,Marysville,Union,OH,43040,42755,47631,58268,58456,58798,61334,67422,1
JPM Chase Bank,0,Mason Street Private Banking Branch,1313,1998-03-02,"191 Mason Street, Elm Street",Greenwich,Fairfield,CT,6830,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Mastercard Int'l Corp Cashier Branch,1296,1997-07-01,2000 Purchase Street,Purchase,Westchester,NY,10577,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Maxtown Branch,1786,2000-10-09,875 N State St.,Westerville,Delaware,OH,43082,109135,119226,138989,166538,176909,185608,203972,1
JPM Chase Bank,0,May & Memorial Banking Center Branch,3292,2003-05-01,13805 North May Avenue,Oklahoma City,Oklahoma,OK,73134,24048,26362,29537,34736,37228,41543,44400,1
JPM Chase Bank,0,May Avenue and 37th Branch,3276,1967-10-02,3724 North May Avenue,Oklahoma City,Oklahoma,OK,73112,34283,36349,39838,41635,42712,44795,48239,1
JPM Chase Bank,0,Mayfield-Lyndhurst Branch,1586,1975-05-12,5400 Mayfield Road,Lyndhurst,Cuyahoga,OH,44124,46852,50043,59115,70592,78827,89259,95775,1
JPM Chase Bank,0,Mcallen Neuhaus Tower Branch,1358,1945-12-10,200 South Tenth Street,Mcallen,Hidalgo,TX,78501,460270,488531,515836,523621,485161,464974,451306,1
JPM Chase Bank,0,Mcallen North Branch,1442,1994-04-25,5601 North 10th Street,Mcallen,Hidalgo,TX,78504,64937,66596,75860,79191,98280,100902,101336,1
JPM Chase Bank,0,Mccaslin Branch,3116,1995-02-21,578 South Mccaslin Boulevard,Louisville,Boulder,CO,80027,70594,85679,93603,107766,116671,136018,157396,1
JPM Chase Bank,0,Mcclean Branch,2022,1965-07-01,1130 North Mclean Boulevard,Elgin,Kane,IL,60123,64115,62640,69829,73903,76616,78785,83287,1
JPM Chase Bank,0,Mcclintock Dr-Southern Avenue Branch,2464,1971-01-25,1744 East Southern Avenue,Tempe,Maricopa,AZ,85282,98755,104550,110152,115332,122851,138213,154707,1
JPM Chase Bank,0,Mccormick Ranch Branch,2481,1974-08-12,8200 East Via Paseo Del Norte,Scottsdale,Maricopa,AZ,85258,116220,116126,125292,142888,154979,153584,158459,1
JPM Chase Bank,0,Mcdaniel Banking Center Branch,1946,1977-01-17,1901 Mcdaniel Avenue,Evanston,Cook,IL,60201,87872,89046,101989,111717,115983,124286,132113,1
JPM Chase Bank,0,Mcdermott and Alma Branch,2397,2001-01-08,1326 West Mcdermott Drive,Allen,Collin,TX,75013,67958,71831,80036,87439,92396,100964,115050,1
JPM Chase Bank,0,Mcdermott and Watters Branch,1471,1999-08-30,908 West Mcdermott Drive,Allen,Collin,TX,75013,67644,69938,79385,97286,117058,123670,132236,1
JPM Chase Bank,0,Mcdonald Avenue Branch,846,1967-12-19,4323 18th Avenue,Brooklyn,Kings,NY,11218,182563,183109,198810,227607,261328,275327,299425,1
JPM Chase Bank,0,Mcdowelland 74th Street Branch,2423,1962-11-19,7345 East Mcdowell Road,Scottsdale,Maricopa,AZ,85257,89342,86107,93190,102311,104682,110227,125235,1
JPM Chase Bank,0,Mckellips and 56th Street Branch,2470,1972-11-20,5624 East Mckellips Road,Mesa,Maricopa,AZ,85215,120945,122215,129111,163393,172219,198112,220456,1
JPM Chase Bank,0,Meadows Drive Branch,3084,1995-03-14,3950 Meadows Drive,Indianapolis,Marion,IN,46205,7100,8000,7388,7202,6604,6789,6939,1
JPM Chase Bank,0,Medical Banking Center Branch,3214,1971-12-08,601 South Floyd Street,Louisville,Jefferson,KY,40202,16696,19364,20797,23728,24041,24830,29278,1
JPM Chase Bank,0,Medical Branch,1334,1974-06-21,6560 Fannin Street,Houston,Harris,TX,77030,236170,253950,282622,334578,387616,385359,449044,1
JPM Chase Bank,0,Medical Center Fredericksburg Branch,1424,1987-03-16,7959 Fredericksburg,San Antonio,Bexar,TX,78229,47205,49157,51739,54281,60940,62693,69898,1
JPM Chase Bank,0,Medical Plaza Branch,2211,1992-07-13,"7777 Hennessy Boulevard, Suite 2000",Baton Rouge,East Baton Rouge,LA,70808,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Medina Branch,1608,1981-09-15,285 East Reagan Parkway,Medina,Medina,OH,44256,36300,39022,45341,54828,56925,63593,77616,1
JPM Chase Bank,0,Medina Buehlers Branch,1644,1992-03-01,3626 Medina Road,Medina,Medina,OH,44256,26293,29200,34020,42703,41741,43363,49926,1
JPM Chase Bank,0,Melbourne Park Branch,3243,1976-01-19,1121 Nandino Boulevard,Lexington,Fayette,KY,40511,20101,22400,25057,27636,29217,33243,36266,1
JPM Chase Bank,0,Melrose Branch,472,1949-11-21,360 East 149th Street,Bronx,Bronx,NY,10455,143362,139353,138835,142950,142865,148608,153533,1
JPM Chase Bank,0,Melrose Park Branch,2006,1998-03-09,1836 North Broadway,Melrose Park,Cook,IL,60160,111203,138827,147559,156374,160202,165944,166232,1
JPM Chase Bank,0,Melville Branch,197,1958-12-15,115 Broad Hollow Road,Melville,Suffolk,NY,11747,150161,175267,196333,211336,228141,238768,257023,1
JPM Chase Bank,0,Memorial and 91st Branch,3289,1997-03-31,7837 East 91st Street,Tulsa,Tulsa,OK,74133,32888,33984,41260,43895,47237,59271,67501,1
JPM Chase Bank,0,Memorial Drive Alexandria Branch,2195,1973-07-10,2203 Memorial Drive,Alexandria,Rapides,LA,71301,28964,28756,31238,32455,33789,34847,35971,1
JPM Chase Bank,0,Memorial Drive Houston Branch,2259,1985-04-29,14400 Memorial Drive,Houston,Harris,TX,77079,337761,370119,390785,396658,402741,410019,411449,1
JPM Chase Bank,0,Memorial Villages Branch,1468,1999-03-15,9335 Katy Freeway,Houston,Harris,TX,77024,128707,130985,156324,184501,241251,272834,282826,1
JPM Chase Bank,0,Mentor Shore Branch,1574,1963-03-01,6081 Andrews Road,Mentor-On-The-Lake,Lake,OH,44060,54967,56517,61749,64887,69230,72496,76411,1
JPM Chase Bank,0,Mequon Branch,2863,1981-12-16,5909 West Mequon Road,Mequon,Ozaukee,WI,53092,55640,57916,65411,83126,84334,91966,106404,1
JPM Chase Bank,0,Meridian and 146th Branch,2962,1991-08-12,14801 Thatcher Ln,Carmel,Hamilton,IN,46032,72381,82379,90746,97883,101886,115252,131196,1
JPM Chase Bank,0,Merrick Branch,1003,1987-05-18,2122 Merrick Avenue,Merrick,Nassau,NY,11566,94106,96519,105098,125654,141300,137327,148323,1
JPM Chase Bank,0,Merrillville Branch,3035,1959-11-16,6790 Broadway,Merrillville,Lake,IN,46410,73101,70098,72286,74920,148035,75407,79057,1
JPM Chase Bank,0,Mesa Main Branch,2424,1899-01-01,61 N Country Club Dr,Mesa,Maricopa,AZ,85201,118024,118856,127272,131269,139484,261451,191874,1
JPM Chase Bank,0,Metro Parkways + Mound Road Branch,2658,1957-05-02,5601 Metropolitan Parkway,Sterling Heights,Macomb,MI,48310,99152,102170,109300,116924,121680,143209,157155,1
JPM Chase Bank,0,Metropolitan Airport Branch,2678,1968-04-04,10421 Middle Belt Road,Romulus,Wayne,MI,48174,35838,37404,44258,45582,50774,52889,53027,1
JPM Chase Bank,0,Metropolitan and 74th St Branch,823,1800-01-01,74-03 Metropolitan Avenue,Middle Village,Queens,NY,11379,89975,90936,94734,124739,130157,135214,146883,1
JPM Chase Bank,0,Miamisburg Branch,1775,1981-08-27,210 South Heincke Road,Miamisburg,Montgomery,OH,45342,33844,34967,37752,39579,43813,43388,47930,1
JPM Chase Bank,0,Michigan Avenue Branch,1921,1920-05-03,605 North Michigan Avenue,Chicago,Cook,IL,60611,500380,532811,588233,627804,654660,699843,727867,1
JPM Chase Bank,0,Michigan-Fuller Branch,2801,1957-09-06,"1100 Michigan Street, N. E.",Grand Rapids,Kent,MI,49503,34120,33721,35793,37423,39107,41217,42952,1
JPM Chase Bank,0,Mid-City Branch,2200,1955-07-27,3012 Government Street,Baton Rouge,East Baton Rouge,LA,70806,47677,46602,49097,53074,51571,52150,54713,1
JPM Chase Bank,0,Middle Belt-Eleven Mile Road Branch,2644,1965-02-26,26029 Middlebelt Road,Farmington Hills,Oakland,MI,48334,60148,63999,70134,72259,77063,84699,89681,1
JPM Chase Bank,0,Middletown Branch,3204,1960-12-19,12016 Shelbyville Road,Louisville,Jefferson,KY,40243,101967,103510,116170,122922,135570,142703,158155,1
JPM Chase Bank,0,Midland Avenue Branch,1216,1980-05-12,36 East Midland Avenue,Paramus,Bergen,NJ,7652,134684,136333,163697,191646,191206,209943,228117,1
JPM Chase Bank,0,Midwood Branch,841,1964-08-12,1501 Avenue M,New York City,Kings,NY,11230,305645,316308,356369,407742,453300,481014,515648,1
JPM Chase Bank,0,Milan Branch,2731,1961-12-04,9 Wabash Street,Milan,Washtenaw,MI,48160,37357,38685,42107,46349,48233,50860,53879,1
JPM Chase Bank,0,Milford (Ford Street) Branch,1148,1967-09-16,370 Boston Post Road,Milford,New Haven,CT,6460,82623,83772,86838,86705,87268,89086,99210,1
JPM Chase Bank,0,Milford Road & I-96 Banking Center Branch,3296,2003-05-21,30746 Lyon Center Drive East,New Hudson,Oakland,MI,48165,32412,39186,52291,56168,63489,66078,72596,1
JPM Chase Bank,0,Milford Shopping Center Branch,1702,1960-06-06,967 Lila Avenue,Milford,Clermont,OH,45150,39921,39983,41966,42803,43035,45294,46532,1
JPM Chase Bank,0,Mill Basin Branch,780,1962-01-03,6510 Avenue U,Brooklyn,Kings,NY,11234,213138,222762,249831,263872,280792,298083,340618,1
JPM Chase Bank,0,Miller Branch,3032,1948-03-29,647 South Lake Street,Gary,Lake,IN,46403,24790,25884,27511,27515,28318,28667,29404,1
JPM Chase Bank,0,Miller Valley Road Branch,2469,1972-10-30,746 Miller Valley Road,Prescott,Yavapai,AZ,86301,70306,76189,82577,89642,95477,105595,113328,1
JPM Chase Bank,0,Millwood Branch,853,1970-09-25,230 Saw Millriver Road,Millwood,Westchester,NY,10546,122835,131722,147945,154644,168702,176644,209671,1
JPM Chase Bank,0,Milton Branch,1797,1988-05-09,500 Main St. East,Milton,Cabell,WV,25541,19345,19723,20519,22458,22706,26727,28274,1
JPM Chase Bank,0,Milwaukee Avenue Branch,1936,1996-04-27,5813 North Milwaukee Avenue,Chicago,Cook,IL,60646,664623,886903,898119,950907,931676,937485,838904,1
JPM Chase Bank,0,Milwaukee Street Branch,2923,1971-07-06,4513 Milwaukee Street,Madison,Dane,WI,53714,27885,29115,31670,34079,394269,404053,437332,1
JPM Chase Bank,0,Mineola Branch,163,1972-11-10,32 Jericho Turnpike,Mineola,Nassau,NY,11501,88738,93165,100406,115772,128278,135141,176190,1
JPM Chase Bank,0,Mineola Court House Branch,235,1970-06-29,216 Old Country Road,Mineola,Nassau,NY,11501,274996,276252,290593,291617,287279,307242,307257,1
JPM Chase Bank,0,Minerva Branch,1636,1957-09-03,123 N. Main St.,Minerva,Stark,OH,44657,25725,26085,27724,28760,30638,31780,33093,1
JPM Chase Bank,0,Minoa Branch,1044,1964-02-28,249 North Main Street,Minoa,Onondaga,NY,13116,23397,22131,22785,23856,25406,27517,26540,1
JPM Chase Bank,0,Mission Bend Branch,2261,1981-02-09,6701 Highway 6 South,Houston,Harris,TX,77083,54970,57681,59590,68529,71354,78182,87126,1
JPM Chase Bank,0,Mobile Branch (1),2571,1996-06-25,201 North Central Avenue,Phoenix,Maricopa,AZ,85004,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Mockingbird Banking Center Branch,2316,1979-02-16,5646 East Mockingbird Lane,Dallas,Dallas,TX,75206,80814,89531,103669,111889,128197,144488,161394,1
JPM Chase Bank,0,Mohave Valley Branch,2514,1981-10-05,8495 Highway 95,Mohave Valley,Mohave,AZ,86440,45771,55769,58960,59605,60435,62937,67241,1
JPM Chase Bank,0,Mohegan Lake Fsc Branch,1314,1998-07-14,"3105 East Main Street, Cortlandt Town Center",Mohegan Lake,Westchester,NY,10547,23658,22656,24632,27623,29231,30099,34598,1
JPM Chase Bank,0,Mokena Branch,1969,1961-01-01,11124 Front Street,Mokena,Will,IL,60448,27074,28528,32891,35081,39013,41203,43899,1
JPM Chase Bank,0,Moline Main Branch,3176,1998-03-20,501 15th Street,Moline,Rock Island,IL,61265,40202,39808,39525,42844,49015,50294,57638,1
JPM Chase Bank,0,Monona Branch,2924,1973-03-12,802 West Broadway,Madison,Dane,WI,53713,29072,30370,33596,39173,40944,43247,48578,1
JPM Chase Bank,0,Monroe Avenue Branch,1071,1928-01-01,560 Monroe Avenue,Rochester,Monroe,NY,14607,31378,34252,39705,41787,40043,42509,46126,1
JPM Chase Bank,0,Monroe Beech Branch,2700,1979-06-18,1324 Monroe Street,Dearborn,Wayne,MI,48124,46582,49766,54219,122626,120963,123485,142037,1
JPM Chase Bank,0,Monroe Branch,881,1974-05-17,"475 Route 17m, K-Mart Plaza",Monroe,Orange,NY,10950,91732,105161,119979,139674,135359,158833,177419,1
JPM Chase Bank,0,Monroe Branch,1718,1977-01-31,One East Ave,Monroe,Butler,OH,45050,20485,20593,22273,23468,26144,26567,26988,1
JPM Chase Bank,0,Monroe Ct Branch,1170,1979-08-08,456 Monroe Turnpike,Monroe,Fairfield,CT,6468,63203,66795,68238,76666,79725,82839,84911,1
JPM Chase Bank,0,Montclair - Private Banking Branch,1245,1997-07-01,483 Bloomfield Avenue,Montclair,Essex,NJ,7042,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Montclair Branch,1208,1970-07-10,19 North Fullerton Avenue,Montclair,Essex,NJ,7042,172421,177839,183163,204310,207750,231329,254090,1
JPM Chase Bank,0,Montclair Drive-In Branch,1246,1997-07-01,19 North Fullerton Avenue,Montclair,Essex,NJ,7042,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Monterrey Branch,2205,1977-04-11,2828 Monterrey Boulevard,Baton Rouge,East Baton Rouge,LA,70814,53088,53559,56069,62526,64490,68340,76126,1
JPM Chase Bank,0,Montgomery Branch,1707,1980-11-12,8201 Weller Road,Cincinnati,Hamilton,OH,45242,45403,50182,65333,64401,76489,74601,84898,1
JPM Chase Bank,0,Morgan Guar. Tr. Co. Of Ny Branch,1485,1897-01-01,60 Wall Street,New York City,New York,NY,10005,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Morgan Stanley Corp Cashier Branch,1266,1997-07-01,1585 Broadway,New York City,New York,NY,10036,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Morris Park Branch,433,1983-08-31,1068 Morris Park Avenue,Bronx,Bronx,NY,10461,126512,129094,136031,145582,151088,164809,223222,1
JPM Chase Bank,0,Morristown - Private Banking Branch,1297,1997-07-01,225 South Street,Morristown,Morris,NJ,7960,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Morse Road Branch,1529,1964-06-25,1551 Morse Road,Columbus,Franklin,OH,43229,62362,64812,70042,75155,78246,83315,85228,1
JPM Chase Bank,0,Mosholu Branch,473,1928-06-15,3408 Jerome Avenue,Bronx,Bronx,NY,10467,85813,95107,98688,220304,118507,118387,131595,1
JPM Chase Bank,0,Moss Bluff Branch,2094,1982-06-21,610 Sam Houston Jones Parkway,Moss Bluff,Calcasieu,LA,70611,20343,20736,21649,26200,28783,29635,29685,1
JPM Chase Bank,0,Moss Street Branch,2099,1971-12-13,2510 Moss Street,Lafayette,Lafayette,LA,70501,40917,43760,47093,51632,55487,59384,60120,1
JPM Chase Bank,0,Motor Bank Branch,1318,1980-02-04,212 Milam Street,Houston,Harris,TX,77002,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Motor Bank Facility Branch,1384,1979-12-17,2101 Pearl,Dallas,Dallas,TX,75201,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Mott Haven Branch,771,1800-01-01,270 East 137th Street,Bronx,Bronx,NY,10454,25330,32051,33451,33351,34427,35979,35921,1
JPM Chase Bank,0,Mount Gilead Branch,1651,1904-01-01,16 North Main Street,Mount Gilead,Morrow,OH,43338,43605,42228,44510,46975,46190,47521,50842,1
JPM Chase Bank,0,Mount Kisco Satellite Express Branch,980,1960-12-06,777 North Bedford Road,Bedford Hills,Westchester,NY,10507,139743,141039,161442,193284,207640,225145,216383,1
JPM Chase Bank,0,Mount Pleasant Branch,2886,1853-01-01,5815 Twenty-First Street,Racine,Racine,WI,53406,38879,44762,53897,56107,61649,69091,72803,1
JPM Chase Bank,0,Mount Sinai Branch,624,1974-12-26,5499 Nesconset Highway,Mount Sinai,Suffolk,NY,11766,182016,197038,198995,217827,212899,225913,230524,1
JPM Chase Bank,0,Mount Vernon Branch,9,1964-02-25,22 West First Street,Mount Vernon,Westchester,NY,10550,146820,136672,140678,154313,148707,145499,151949,1
JPM Chase Bank,0,Mt. Lookout Branch,1710,1909-01-01,822 Delta Avenue,Cincinnati,Hamilton,OH,45226,39536,42019,43467,52197,53505,62588,73682,1
JPM Chase Bank,0,Mt. Prospect - Busse Branch,1886,1911-07-10,111 East Busse Avenue,Mount Prospect,Cook,IL,60056,482945,580750,603984,632143,647332,697505,631925,1
JPM Chase Bank,0,Mt. Prospect Countryside Branch,1955,1969-09-02,1190 South Elmhurst Road,Mount Prospect,Cook,IL,60056,145296,151134,180816,196669,207198,224053,240447,1
JPM Chase Bank,0,Mt. Sterling Branch,1544,1929-07-12,47 North London Street,Mount Sterling,Madison,OH,43143,36740,36200,35431,38419,37966,39042,45442,1
JPM Chase Bank,0,Mulberry Elizabethtown Branch,3231,1996-01-15,1009 North Mulberry,Elizabethtown,Hardin,KY,42701,11819,11903,13591,17047,20475,21993,28162,1
JPM Chase Bank,0,Mulberry Milford Branch,1782,1998-06-29,1086 State Route 28,Milford,Clermont,OH,45150,41675,42970,49140,53017,56511,60018,65204,1
JPM Chase Bank,0,Mulford Branch,3157,1854-12-14,6000 East State Street,Rockford,Winnebago,IL,61108,410368,348603,381521,343615,341937,309123,324626,1
JPM Chase Bank,0,Munsey Park Branch,1021,1981-03-27,2111 Northern Boulevard,Manhasset,Nassau,NY,11030,322256,357886,379920,401904,420642,411797,423422,1
JPM Chase Bank,0,Murray Hill Branch,547,1964-11-16,450 Third Avenue,New York City,New York,NY,10016,221419,313100,340458,336345,319832,349772,344585,1
JPM Chase Bank,0,Muskego Branch,2876,1968-05-20,S69 W15612 Janesville Road,Muskego,Waukesha,WI,53150,30742,31913,33119,41364,45835,55260,63156,1
JPM Chase Bank,0,N Lamar and Rundberg Branch,2390,1997-07-14,9901 North Lamar Boulevard,Austin,Travis,TX,78753,35147,37386,42025,47026,51400,55317,60231,1
JPM Chase Bank,0,N. Territorial Sheldon Branch,2673,1966-08-01,235 North Sheldon Road,Plymouth,Wayne,MI,48170,182613,197101,208629,236853,247956,270733,295187,1
JPM Chase Bank,0,Nacogdoches Branch,2302,1974-01-01,13939 Nacogdoches,San Antonio,Bexar,TX,78217,30262,30423,33182,35698,37041,39738,47280,1
JPM Chase Bank,0,Nanuet Driveup Branch,287,1961-08-15,39 Smith Street,Nanuet,Rockland,NY,10954,190614,202278,214019,225500,232985,231234,237031,1
JPM Chase Bank,0,Naperville Branch,1897,1989-12-04,1212 Hobson Road,Naperville,DuPage,IL,60540,275828,319546,355862,393765,441848,479638,521464,1
JPM Chase Bank,0,Naperville Rt 59 and 95th Branch,2014,1999-01-05,"2863 W 95th St, Unit 151",Naperville,Will,IL,60564,33586,36777,41286,44993,51740,59201,65874,1
JPM Chase Bank,0,Nappanee Branch,2999,1966-01-28,351 West Market Street,Nappanee,Elkhart,IN,46550,22404,20910,21610,22818,22764,22988,25503,1
JPM Chase Bank,0,Near North Branch,1862,1977-05-14,1122 North Clark Street,Chicago,Cook,IL,60610,233434,252565,252760,276119,314942,346169,365909,1
JPM Chase Bank,0,Nederland Branch,2389,1997-01-27,2150 Highway 365,Nederland,Jefferson,TX,77627,114752,107766,116469,103907,104800,117193,122772,1
JPM Chase Bank,0,Neenah Branch,2901,1881-11-01,111 East Wisconsin Avenue,Neenah,Winnebago,WI,54956,41598,43451,47110,52574,55085,56202,61964,1
JPM Chase Bank,0,Nelbar Branch,1715,1957-08-22,2400 N Verity Pkwy,Middletown,Butler,OH,45042,63025,64695,64510,62658,65895,64295,66975,1
JPM Chase Bank,0,Nelson Road Branch,2093,1980-07-07,4100 Nelson Road,Lake Charles,Calcasieu,LA,70605,46070,54198,60108,68150,77356,83457,99469,1
JPM Chase Bank,0,New Berlin Branch,2873,1960-01-04,15525 West National Avenue,New Berlin,Waukesha,WI,53151,84622,96048,103946,109836,120717,123166,134546,1
JPM Chase Bank,0,New Canaan Branch,1171,1859-01-01,21 East Avenue,New Canaan,Fairfield,CT,6840,296742,338142,354297,340874,347820,381782,382113,1
JPM Chase Bank,0,New Canaan Drive-In Branch,1172,1974-05-18,21 East Avenue,New Canaan,Fairfield,CT,6840,0,0,0,0,0,0,0,1
JPM Chase Bank,0,New Caney Branch,2317,1934-05-01,20798 Fm 1485,New Caney,Montgomery,TX,77357,42028,43677,47634,48155,54811,62092,70458,1
JPM Chase Bank,0,New Dorp Branch,835,1950-07-05,200 New Dorp Lane,Staten Island,Richmond,NY,10306,184754,169675,184606,198685,204004,203885,218596,1
JPM Chase Bank,0,New Franken Branch,2912,1977-05-24,2508 North New Franken Road,New Franken,Brown,WI,54229,23039,22216,21545,21637,22516,22724,23866,1
JPM Chase Bank,0,New Haven Branch,3069,1977-02-28,321 Lincoln Highway West,New Haven,Allen,IN,46774,32101,32440,33456,38273,35942,35048,39023,1
JPM Chase Bank,0,New Haven Church Street Branch,1161,1986-12-15,234 Church Street,New Haven,New Haven,CT,6510,98624,91812,109615,118269,125632,138889,189656,1
JPM Chase Bank,0,New Lenox Branch,1970,1961-01-01,500 West Maple,New Lenox,Will,IL,60451,65455,72926,78613,86324,88096,92774,96963,1
JPM Chase Bank,0,New Lots Branch,479,1961-03-13,2100 Linden Boulevard,Brooklyn,Kings,NY,11207,40157,42180,42957,47242,53978,56586,60407,1
JPM Chase Bank,0,New Massillon Branch,1784,1999-01-16,11 Lincoln Way West,Massillon,Stark,OH,44647,29727,29586,32214,35837,40440,42192,42350,1
JPM Chase Bank,0,New Philadelphia Branch,1687,1967-11-27,141 East High Avenue,New Philadelphia,Tuscarawas,OH,44663,30896,35194,34149,36689,35875,35312,42297,1
JPM Chase Bank,0,New Road Branch,2306,1960-06-03,320 New Road,Waco,McLennan,TX,76710,76007,79925,83879,89738,88311,96769,112116,1
JPM Chase Bank,0,New Rochelle Branch,981,1954-11-01,270 North Avenue,New Rochelle,Westchester,NY,10801,123508,132621,136375,174310,162972,157895,168282,1
JPM Chase Bank,0,New Vernon Branch,1205,1965-03-01,15 Village Road,New Vernon,Morris,NJ,7976,59957,63835,58979,64674,73492,77266,84045,1
JPM Chase Bank,0,New York Coliseum Branch,1270,1997-07-01,10 Columbus Circle,New York City,New York,NY,10019,0,0,0,0,0,0,0,1
JPM Chase Bank,0,New York Life Branch,520,1922-12-18,386 Park Avenue South,New York City,New York,NY,10016,656985,634703,719617,810799,828921,904748,1015342,1
JPM Chase Bank,0,New York North Branch,288,1958-02-15,333 Route 303,Orangeburg,Rockland,NY,10962,121750,131683,178281,165874,169818,167399,184491,1
JPM Chase Bank,0,Newark Branch,1508,2002-03-25,744 Broad Street,Newark,Essex,NJ,7102,14356,17701,20018,22337,26155,26562,27280,1
JPM Chase Bank,0,Newark Main Branch,1552,1903-07-23,15 North Third Street,Newark,Licking,OH,43055,36119,35777,33950,33091,36991,32566,32184,1
JPM Chase Bank,0,Newcomerstown Branch,1686,1959-03-30,150 West Main Street,Newcomerstown,Tuscarawas,OH,43832,16928,17512,19651,21607,20696,20862,22034,1
JPM Chase Bank,0,Newkirk Plaza Branch,494,1930-03-10,1509 Foster Avenue,Brooklyn,Kings,NY,11230,118751,123258,115551,148252,153831,164917,167768,1
JPM Chase Bank,0,Newport Center Branch,1505,2002-06-10,575 Washington Boulevard,Jersey City,Hudson,NJ,7310,125007,136387,151238,187103,209050,234512,288589,1
JPM Chase Bank,0,Newton Falls Branch,1670,1937-09-01,20 South Canal Street,Newton Falls,Trumbull,OH,44444,28132,32590,34486,36531,36753,38746,40221,1
JPM Chase Bank,0,Newtown Branch,1153,1974-12-28,30 Church Hill Road,Newtown,Fairfield,CT,6470,51729,58509,65722,76224,84761,87607,100543,1
JPM Chase Bank,0,Nichols Hills Branch,3275,1994-01-31,1200 Northwest 63rd Street,Oklahoma City,Oklahoma,OK,73116,50898,51938,59790,68897,71306,73019,86481,1
JPM Chase Bank,0,Nichols Park Branch,3260,2002-12-06,4097 Nichols Park Drive,Lexington,Fayette,KY,40503,9887,12565,15189,16062,17947,19445,22776,1
JPM Chase Bank,0,Niles Branch,1866,1934-05-01,8510 West Golf Road,Niles,Cook,IL,60714,156893,170904,200181,215970,231004,249439,278880,1
JPM Chase Bank,0,Ninth Street Branch,498,1902-12-29,444 5th Avenue,Brooklyn,Kings,NY,11215,143163,161085,189245,205912,235212,248736,281082,1
JPM Chase Bank,0,Noble Jackson Branch,2955,1981-11-05,25 South Noble Street,Shelbyville,Shelby,IN,46176,636,657,748,850,513,912,593,1
JPM Chase Bank,0,Noblesville Banking Center Branch,3028,1993-05-03,198 Logan Street,Noblesville,Hamilton,IN,46060,61433,63328,72707,82505,98278,90128,99078,1
JPM Chase Bank,0,Nogales-Mariposa Branch,2480,1973-12-03,420 West Mariposa Road,Nogales,Santa Cruz,AZ,85621,247548,255550,290226,288653,255049,368133,384085,1
JPM Chase Bank,0,Noho Branch,790,1800-01-01,623 Broadway,New York City,New York,NY,10012,194760,214049,236412,285129,372266,360850,387992,1
JPM Chase Bank,0,Nora Branch,2939,1960-09-28,702 East 86th Street,Indianapolis,Marion,IN,46240,99725,133067,149104,171147,162793,173579,188565,1
